slug,id,cuisine,stars,count,where,available,sold-out
mokyo,38941,Korean,4.83,3052,"East Village, NYC",19,0
thenines,7490,Contemporary American,4.75,3005,NoHo,9,3
la-vara,28927,Spanish,4.81,2938,Cobble Hill,29,1
noreetuh,5025,American,4.82,2907,East Village,10,0
flex-mussels-west-village,3534,Seafood,4.76,2873,West Village,31,0
russ-and-daughters-cafe,4600,Jewish,4.76,2636,Lower East Side,0,30
da-toscano,8568,Italian,4.79,2627,Greenwich Village,25,0
double-chicken-please,42534,Contemporary American,4.78,2599,Lower East Side,0,0
cafe-spaghetti,59220,Italian,4.81,2575,Carroll Gardens,10,2
tomino-taberna-gallega-nyc,50250,Spanish,4.75,2556,Soho,91,1
malaparte,52426,Italian,4.76,2306,West Village,61,0
golden-diner,9520,Asian American,4.76,2272,Chinatown/LES,25,0
kings-co-imperial-lower-east-side,2738,Chinese,4.79,2219,Lower East Side,43,1
oiji-mi,58543,Korean,4.79,2218,Flatiron,28,1
la-compagnie-des-vins-surnaturels,5664,French,4.82,2198,Little Italy,30,0
the-up-and-up,8550,Cocktail Bar,4.77,2107,Greenwich Village,13,1
overstory,53052,Cocktail Bar,4.78,2098,Financial District,2,12
shinn-east,34687,Sushi,4.84,1917,East Village,25,0
houseman,5470,American,4.79,1880,Hudson Square,37,1
claud,62659,European,4.77,1828,East Village,1,14
the-chefs-counter-at-manhatta,59549,American,4.75,1825,Financial District,24,4
berimbau-brazilian-kitchen,37288,Brazilian,4.75,1762,West Village,38,0
labielle,59006,French,4.78,1669,Tribeca,12,5
lords,65228,Modern British,4.75,1617,NoHo,13,0
bar-six,28409,French,4.76,1430,Greenwich Village,180,0
farra,7481,American,4.81,1374,Tribeca,38,1
l-appart,1770,French,4.83,1362,Battery Park City,12,8
balvanera-nyc,7140,Argentinean,4.79,1234,Lower East Side,30,0
potluck-club,63514,Asian American,4.81,1212,Chinatown,7,3
c-as-in-charlie,65387,Korean,4.84,1194,NoHo,29,1
laccolade,25120,French,4.76,1180,West village,25,0
luthun,6369,New American,4.79,1136,East Village,16,0
san-ambroeus-brookfield-place,57316,Italian,4.78,1128,Tribeca,30,0
shabu-tatsu,36758,Japanese,4.79,1128,East Village,13,1
the-little-shop,36432,Cocktail Bar,4.77,1108,South Street Seaport,51,0
torien,7318,Japanese,4.82,1072,Noho,39,4
8282,54395,Korean,4.77,1045,New York,21,0
chito-gvrito,50320,Georgian,4.76,1043,Gramercy ,30,0
matsunori,58553,Sushi,4.75,1012,New York,245,0
swan-room,60639,Cocktail Bar,4.79,1007,New York,27,1
sant-ambroeus-west-village,62930,Italian,4.75,993,West Village,30,0
ciccio_bar_and_alimentari,10254,Italian,4.76,981,Soho,26,0
thirteen-water,59903,Sushi,4.83,946,Alphabet City,25,0
saint-julivert-fisherie,54714,Seafood,4.82,906,Cobble Hill,30,0
ama-raw-bar,50258,Seafood,4.76,873,East Village,31,0
martinys,60243,Japanese,4.75,846,Gramercy Park,1,6
ariari,65520,Korean,4.77,759,East Village,0,30
omakase-room-by-mitsu,7519,Sushi,4.81,742,West Village,18,3
ama-rawbar-west-village,55270,Seafood,4.76,699,West Village,30,0
via-della-pace,9792,Italian,4.79,652,"East Village, Lower East Side",312,0
terroir,52704,American,4.77,643,Downtown,118,0
soda-club,47868,Plant-based,4.76,609,East Village,21,0
felice-hudson,59075,Italian,4.77,555,West Village,30,0
st-jardim,59132,Natural Wine,4.81,541,West Village,18,0
leitao,65639,Portuguese,4.82,482,West Village,89,1
parcelle,59471,Wine,4.80,473,Lower East Side,10,0
holywater,68244,Cocktail Bar,4.81,468,Tribeca,90,0
tiger-lily-kitchen,58637,Asian,4.76,428,East Village,30,0
bar-lula,57507,Cocktail Bar,4.82,425,New York,51,0
sushi-lab-east-village,61135,Sushi,4.82,419,East Village,25,0
pips,9058,Italian,4.77,398,Brooklyn Heights,30,0
smor,58326,European,4.76,386,East Village,12,0
sushi-teru-omakase,44359,Sushi,4.79,308,West Village,12,0
nabilas,65402,Lebanese,4.76,301,Brooklyn,19,0
the-wayland,38101,American,4.80,288,Alphabet City,35,0
motorino,52420,Italian,4.78,276,east village,14,0
essex-pearl,58951,Southeast Asian,4.76,272,Lower East Side,41,2
ondo-omakase,64714,Sushi,4.76,225,NoHo,21,0
almar,66586,Italian,4.83,219,DUMBO,61,0
inatteso-pizzabar,10531,Italian,4.75,190,Battery Park City,12,0
sushi-by-m-4th-st,66736,Japanese,4.81,181,East Village-75 E 4th Street,51,0
taverna-di-bacco,65830,Italian,4.84,174,Lower Manhattan,43,0
brindle-room,59724,Contemporary American,4.80,149,Alphabet City,22,0
maneros-bar-and-restaurant,52800,Italian,4.76,135,Little Italy,0,0
omakase-sushi-fan,68268,Sushi,4.77,100,Manhattan,25,0
rabbit,65714,Vegan & Plant-based,4.80,94,New York,15,0
spunto,67402,Pizza,4.77,61,West Village,30,0
bisou,68038,French,4.83,48,West Soho,6,0
caleta,69732,New American,4.8,45,East Village,54,1
everythings-jake,69193,Cocktail Bar,4.84,19,Union Square,53,0
set-les,10173,Fusion,4.75,16,Lower East Side,0,0
kintsugi-omakase,70301,Sushi,4.8,5,SoHo,74,0
le-louis,69578,Lounge,4.8,5,Union Square,25,0
union-square-cafe,698,American,4.73,43399,Union Square,28,0
charlie-bird,5,Italian,4.65,25595,SoHo,31,0
pasquale-jones,440,Pizza,4.67,21207,Nolita,30,0
emily-west-village,1325,Pizza,4.70,20365,West Village,28,2
shuka,1575,Mediterranean,4.71,20222,Soho,30,0
fish-cheeks,693,Thai,4.71,15676,Bowery,30,0
il-buco,675,Mediterranean,4.68,15238,NoHo,14,0
manhatta,2801,American,4.71,13363,Financial District,20,8
au-cheval-nyc,5769,American,4.74,12518,Tribeca,14,0
dante,1290,Italian,4.67,11765,Greenwich Village,25,5
gramercy-tavern,3731,American,4.74,11031,Gramercy Park,28,0
abcv,5256,Vegetarian,4.65,10341,Union Square,58,0
via-carota,2567,Italian,4.74,10103,West Village,0,31
shuko,496,Japanese,4.74,9943,Greenwich Village,21,0
vics,2790,Italian,4.73,9598,NoHo,29,0
nami-nori,7425,Japanese,4.71,9236,West Village,14,0
estela,4288,Contemporary American,4.70,8996,NoLita,24,5
wayan,4599,Southeast Asian,4.65,8870,Nolita,30,0
altro-paradiso,4290,Italian,4.68,8337,"Hudson Square, SoHo",28,1
tokyo-record-bar,1518,Japanese,4.69,7578,Greenwich Village,1,12
soothr,50440,Thai,4.71,7436,East Village,119,0
il-buco-alimentari,6583,Mediterranean,4.71,7195,NoHo,14,0
llama-san,4450,Peruvian,4.66,6619,Lower Manhattan,25,2
claudette,47,French,4.69,6439,Greenwich Village,92,0
french-louie,2018,French,4.71,6351,Boerum Hill,30,0
wayla,5192,Thai,4.72,6073,Lower East Side,14,0
the-tyger,34814,Asian,4.65,5573,Soho,15,0
gage-and-tollner,10123,American,4.65,5316,Downtown Brooklyn,20,9
avant-garden,561,Vegan & Plant-based,4.73,5263,East Village,21,0
harrys,1865,Steakhouse,4.67,5049,FiDi,77,0
clinton-st-baking-co,2078,American,4.72,4905,Lower East SIde,55,6
shoo-shoo,4044,Mediterranean,4.67,4681,Nolita,30,0
the-dining-room-at-gramercy-tavern,52209,American,4.69,4126,Flatiron,28,0
thai-villa,52944,Thai,4.68,3986,Union Square,14,0
raines-law-room,5886,Cocktail Bar,4.67,3804,Chelsea,12,2
indochine,32470,French Vietnamese,4.66,3776,Noho,27,0
perry-st,5966,American,4.72,3701,West Villiage,90,0
wallse,6589,European,4.69,3583,West Village,26,1
chama-mama-chelsea,44082,Georgian,4.69,3474,Chelsea,60,0
dante-west-village,9675,Mediterranean,4.65,3096,West Village,26,4
tuome,6610,New American,4.72,3085,East Village,10,0
one-white-street,49137,American,4.69,2932,Tribeca,27,3
momofuku-ko,3238,American,4.65,2929,East Village,21,0
vinegar-hill-house,5456,American,4.69,2921,Vinegar Hill,60,0
antons,7979,American,4.74,2891,West Village,14,0
van-da,5380,Vietnamese,4.71,2874,East Village,10,0
forsythia,27809,Italian,4.72,2747,Lower East Side,20,1
mathews-food-and-drink,1071,American,4.69,2740,Downtown,40,0
wall-street-grill,5371,Steakhouse,4.69,2721,Financial District,43,0
boqueria-soho,27219,Tapas,4.66,2696,Soho,60,0
the-mary-lane,54342,American,4.74,2646,West Village,30,0
mamo-restaurant,50930,Italian,4.72,2521,Soho,60,0
the-clam,44018,Seafood,4.73,2516,West Village,25,0
elenis,9984,Greek,4.71,2478,Gramercy Park,30,0
urban-vegan-kitchen,4908,Vegan,4.70,2438,West Village,120,0
jack-and-charlies-118,55266,American,4.69,2424,West Village,18,0
nowon-east-village,8541,Korean,4.71,2382,East Village,21,0
69leonardstreet,888,Japanese,4.67,2349,TriBeCa,12,5
temple-bar,54784,Cocktail Bar,4.66,2348,Noho,12,2
roeys,2524,Italian,4.67,2343,West Village,61,0
bobo-nyc,53199,French,4.69,2271,West Village,90,2
left-bank,5089,American,4.67,2269,Greenwich Village,61,0
june-wine-bar,1016,American,4.66,2198,Cobble Hill,21,0
jolene,7015,American,4.74,2130,NoHo,12,0
the-noortwyck,58972,New American,4.72,2115,West Village,15,0
corkbuzz-wine-studio,994,American,4.70,2112,Union Square,8,0
pdt,10500,Cocktail Bar,4.65,2089,East Village,5,2
northsquare-restaurant-and-lounge,1402,American,4.70,1915,Greenwich Village,30,0
pig-and-khao,44151,Southeast Asian,4.66,1877,Lower East Side,150,0
osteria-carlina-west-village,50417,Italian,4.69,1737,West Village,30,0
nats-on-bank,52212,American,4.66,1707,West Village,24,0
pepolino,50653,Italian,4.71,1682,Tribeca,90,0
yellow-rose,53048,Tex-Mex,4.67,1674,New York,11,0
sonnyboy,4530,Australian,4.73,1636,Lower East Side,18,0
la-lanterna-di-vittorio,27758,Italian,4.69,1630,Greenwich Village,60,0
saga-ny,52855,New American,4.74,1626,Financial District,55,4
barbuto,9649,Italian,4.71,1621,West Village,28,2
ruffian,27786,Wine,4.67,1498,East Village,30,0
sushi-by-m,60919,Japanese,4.68,1416,East Village-300 E 5th street,60,0
marians,58325,New American,4.68,1387,West Village,51,1
amelie-wine-bar,42565,French,4.68,1376,West Village,61,1
hasaki,2311,Japanese,4.66,1374,East Village,10,0
cadence,42578,Vegan & Plant-based,4.66,1324,East Village,21,0
ferns,2073,American,4.74,1304,East Village,18,0
sant-ambroeus-soho,54225,Italian,4.70,1274,Soho,30,0
bird-dog-ny,55553,Southern,4.66,1261,West Village,14,0
mala-project-east-village,6410,Chinese,4.71,1229,East Village,29,1
due-west,1990,New American,4.72,1217,Greenwich Village,13,1
omen-azen,4588,Japanese,4.73,1198,SoHo,26,0
reserve-cut,58431,Kosher,4.65,1126,New York,43,0
orale-mexican-kitchen-jersey-city,49278,Mexican,4.71,1120,Downtown,59,0
felice-montague,55738,Italian,4.65,1118,Brooklyn Heights,30,0
analogue,5902,Cocktail Bar,4.69,1116,West Village,30,0
juku,4905,Japanese,4.71,1097,Chinatown,21,0
saigon-social,10494,Vietnamese,4.70,1094,Lower East Side,25,1
gem,49194,New American,4.72,1086,Lower East Side,34,1
takumi-omakase,59638,Sushi,4.71,1085,Lower East Side,366,0
ondo,60289,Korean,4.70,1082,Harbor Side,30,0
the-hihi-room,8582,American,4.65,971,Boerum Hill,25,0
estancia-460,2594,Argentinean,4.70,964,Tribeca,60,0
vineapple,44532,Italian,4.68,948,Brooklyn Heights,59,1
pranakhon,66711,Thai,4.72,915,Union Square,14,0
banzarbar,3400,Seafood,4.74,908,Lower East Side,13,1
white-oak-tavern,43934,American,4.71,903,Greenwich Village,30,0
vallata-ny,36994,Italian,4.67,876,Gramercy,27,1
hirohisa,40734,Japanese,4.71,857,Soho,9,1
3-giovani,50275,Italian,4.71,823,Greenwich Village,180,0
the-izakaya,3190,Japanese,4.68,815,East Village,30,0
em-vietnamese-bistro,51471,Vietnamese,4.74,807,DUMBO,25,0
spaghetti-incident,6327,Italian,4.74,803,Lower East Side,30,0
wan-wan,59570,Thai,4.65,743,Nolita,14,0
dullboy,49321,American,4.66,660,Downtown,25,0
sushi-kai,54894,Sushi,4.71,654,New York,61,0
eterea,47869,Vegan & Plant-based,4.72,594,East Village,18,0
aoi-kitchen,42048,Japanese,4.65,579,East Village,25,0
monsieur-vo,65289,Vietnamese,4.69,560,East Village,18,0
jajaja-mexicana-lower-east-side,52802,Vegan & Plant-based,4.68,554,Lower East Side,30,0
white-star-warren-street,1072,American,4.68,536,Paulus Hook,30,0
wicked-jane-nyc,10358,American,4.74,514,Greenwich Village,256,5
oak-tuscan-truffle-lounge,10631,Italian,4.73,482,Greenwich Village,74,4
mareluna-soho,58606,Italian,4.68,471,New York,30,0
sami-and-susu,58776,Mediterranean,4.68,456,Lower East Side,21,0
sidneys-five,52916,American,4.67,436,East Village,98,2
chez-marylou,59859,French,4.74,413,East village,77,0
osteria-del-porto,52541,Italian,4.65,400,South Street Seaport - Lower Manhattan,30,0
1513,1513,Cocktail Bar,4.72,396,East Village,21,0
entwine,46778,Cocktail Bar,4.69,391,West Village,30,0
keste-pizza-and-vino,59213,Pizza,4.71,376,New York,30,0
tacombi-financial-district,9888,Mexican,4.66,372,Financial District,29,1
the-wesley,65516,Farm to Table,4.74,359,New York,20,0
gouie-new-york,57170,Sushi,4.74,345,Lower East Side,20,0
zzs-clam-bar,6249,Seafood,4.67,332,Greenwich Village,4,0
cafe-mogador-east-village,34985,Middle Eastern,4.71,332,East Village,43,1
hudson-hall,3210,Beer,4.74,329,Hudson Exchange,28,2
boulton-and-watt,52867,Gastropub,4.65,300,East Village,157,0
the-grand-delancey,37862,Beer,4.74,280,Lower East Side,54,5
ferdi,60060,Italian,4.66,277,West Village,35,0
456-sushi,54510,Japanese,4.70,274,New York,78,0
rafs,65679,Italian,4.70,266,NoHo,1,9
pylos,4980,Greek,4.69,256,East Village,60,0
jose-luis,52603,Mediterranean,4.68,238,East Village,30,0
al-badawi,58404,Middle Eastern,4.73,235,Brooklyn Heights,183,0
skin-contact-wine-bar,50714,Wine,4.72,222,Lower East Side,18,1
gotham-ny,7104,American,4.67,216,Greenwich Village,27,1
metrograph-commissary,57502,American,4.65,209,"Lower East Side, New York",21,0
kafana-ny,65832,Balkan,4.72,194,East Village,200,0
pretty-rickys,8270,American,4.66,181,Lower East Side,261,0
peps-on-grand,54519,Italian,4.68,178,New York,79,0
spicy-moon-vegan-east-village,49084,Vegan,4.67,160,East Village,90,0
the-mulberry,66377,Cocktail Bar,4.69,148,New York,3,4
figure-19,51164,Cocktail Bar,4.69,141,Lower East Side,75,2
moko,54750,Japanese,4.67,130,East Village,14,0
domakase,65222,Sushi,4.73,120,Alphabet City,21,0
the-mayfly,54916,Cocktail Bar,4.72,119,Lower East Side,14,0
hearth,70415,Tuscan,4.65,102,East Village,60,0
omakase-sushi-by-no-name,67892,Sushi,4.71,81,Lower East Side,12,0
american-cut-tribeca,35663,Steakhouse,4.69,66,Tribeca,64,0
buenos-aires,59379,Argentinean,4.67,53,Lower East Side,15,0
galerie-bar,69088,Cocktail Bar,4.66,39,Tribeca,10,0
posto-ny,67404,Pizza,4.65,20,Gramercy Park,30,0
brado,67405,Italian,4.7,10,Brooklyn,30,0
verve-wine,27540,Wine,5.0,None,Tribeca,0,0
frenchette,1946,French,4.62,17298,Tribeca,30,0
king,646,Italian,4.58,16517,SoHo,30,0
rosies,725,Mexican,4.62,12789,East Village,28,1
motel-morris,1065,American,4.64,10765,Chelsea,30,0
semma,1263,Indian,4.59,8606,West Village,0,25
jeju-noodle-bar,1543,Korean,4.60,8150,West Village,0,15
celestine-restaurant,1616,Mediterranean,4.56,7944,Dumbo,26,0
pinch-chinese,987,Chinese,4.58,7933,Soho,30,0
american-bar,9906,American,4.58,7456,West Village,21,0
rosemarys,2,Italian,4.61,7257,West Village,92,0
crown-shy,10726,American,4.63,7255,Financial District,28,0
mimi,581,French,4.62,7012,Greenwich Village,21,0
sadelles,29967,Brunch,4.62,6908,SOHO,29,2
balthazar-nyc,50227,French,4.64,5985,Soho,31,0
morandi,26,Italian,4.63,5771,West Village,31,0
battello,4748,Italian,4.59,5474,Downtown Jersey City,22,0
osteria-57,1601,Italian,4.58,5056,Greenwich Village,60,0
balaboosta,27,Israeli,4.61,4999,West Village,25,0
st-tropez,1892,French,4.55,4991,West Village,77,15
ladybird,618,Vegan,4.57,4979,East Village,21,0
la-follia,691,Italian,4.57,4463,Union Square,30,0
kubeh,1994,Middle Eastern,4.63,4346,West Village,21,0
domodomo-new-york,43111,Japanese,4.60,4310,West Village,30,0
hwa-yuan-szechuan,1693,Chinese,4.55,4229,Chinatown,30,0
the-musket-room,3630,International,4.60,4211,Soho,17,3
huertas,55,Spanish,4.60,4090,East Village,18,0
ernestos,6588,Basque,4.55,3964,Lower East Side,12,1
madame-vo-nyc,2352,Vietnamese,4.62,3939,East Village,30,0
emmy-squared-east-village,2724,Pizza,4.58,3811,East Village,30,0
domodomo-jersey-city,43109,Japanese,4.62,3527,Harbor Side,30,0
la-pecora-bianca-soho,39190,Italian,4.60,3353,SoHo,30,0
boutros,761,American,4.58,3315,Brooklyn Heights,30,0
miss-lilys-7a-cafe-and-rum-bar,1968,Caribbean,4.64,3220,East Village,27,0
rafele-ristorante,3597,Italian,4.63,3074,West Village,366,0
tacombi-nolita,637,Mexican,4.62,2734,NoLita,29,1
le-gratin,60029,French,4.61,2568,Lower Manhattan,29,1
a-pasta-bar,10272,Italian,4.61,2530,SOHO,20,1
friend-of-a-farmer,6570,American,4.59,2512,Gramercy Park,78,0
supper,10412,Italian,4.55,2488,East Village,120,0
roxy-bar,10120,American,4.58,2467,Tribeca,90,0
torch-and-crown-brewery-and-restaurant,31537,American,4.63,2310,SoHo,14,0
alice-restaurant-nyc,42292,Italian,4.57,2288,Downtown,60,0
blue-smoke-battery-park-city,3038,BBQ,4.57,2240,Battery Park,28,0
sakamai,2052,Japanese,4.62,2199,Lower East Side,21,0
una-pizza-napoletana,6066,Pizza,4.64,2170,Lower Manhattan,0,6
peasant-nyc,50826,Italian,4.57,2128,Nolita,25,2
airs-champagne-parlor,1344,Wine,4.63,2104,Greenwich Village,12,0
corner-bar,59068,American,4.60,2040,Lower East Side,28,1
the-waverly-inn,58422,American,4.55,1937,West Village,14,1
emmetts-on-grove,58219,Italian,4.59,1867,West Village,12,0
popular,5295,Peruvian,4.56,1846,New York,28,0
bar-moga,2051,Japanese,4.56,1795,Soho,29,0
spicy-moon-west-village,31196,Vegan,4.57,1751,West Village,90,0
jajaja-mexicana-west-village,52801,Vegan & Plant-based,4.63,1727,West Village,30,0
emmetts,3946,Pizza,4.64,1679,Soho,12,0
epistrophy,3747,Italian,4.60,1651,Nolita,30,0
chez-moi,51978,French,4.62,1616,Brooklyn Heights,92,0
buvette-nyc,4241,French,4.59,1573,West Village,11,3
frank,10411,Italian,4.56,1538,East Village,120,0
villanelle,2628,American,4.60,1523,Union Square and Greenwich Village,21,0
lantica-pizzeria-da-michele-west-village,66738,Italian,4.64,1479,Greenwich Village,60,0
one-fifth-ny,64111,Italian,4.57,1452,Greenwich Village,31,0
ingas-bar,59402,American,4.63,1431,Brooklyn Heights,20,0
the-commerce-inn,53342,American,4.58,1396,New York,13,1
barrio-chino,4347,Mexican,4.61,1320,Lower East Side,45,0
laut,43969,Malaysian,4.59,1281,Union Square,29,1
bistro-la-source,4885,European,4.56,1241,Jersey City,21,0
dudleys,3646,Australian,4.64,1174,Lower East Side,0,30
virginias,5938,American,4.59,1160,East Village,22,0
basta-pasta,10390,Italian,4.60,1153,Flatiron,25,0
il-corallo-trattoria,51448,Italian,4.59,1146,Soho,25,0
little-prince,54193,French,4.57,1078,SoHo,13,1
alma-restaurant,8424,Mexican,4.55,1072,Columbia Waterfront,20,1
the-leroy-house,53698,New American,4.56,1063,West Village,78,0
the-lavaux-swiss-wine-and-fondue-bar,37352,Wine,4.55,1054,West Village,60,0
little-ways,37837,American,4.57,1033,Soho,261,0
petes-tavern,53268,American,4.64,915,Gramercy Park,45,0
genesis-house-restaurant,53974,Korean,4.63,890,Meatpacking,24,1
anassa-taverna-downtown,54343,Greek,4.55,872,New York,60,0
kuxe,50918,Mexican,4.58,835,Greenwich Village,30,0
bartusi,54777,Italian,4.64,791,New York,15,0
bacaro-nyc,8353,Italian,4.63,787,Lower East Side,26,0
nudibranch,59010,Asian American,4.63,778,East Village,21,0
15-east-at-tocqueville,37591,French-American and Japanese,4.58,763,Flatiron,20,2
meme-on-hudson,51793,Mediterranean,4.56,724,West Village,30,0
2886,2886,Caribbean,4.61,722,Lower East Side,12,0
casino-new-york,66444,Southern European,4.58,664,Lower East Side,13,1
momofuku-noodle-bar-east-village,6626,Asian,4.62,662,East Village,14,0
isabelles-osteria,42359,Italian,4.55,662,Gramercy,60,0
mino-brasserie,59300,French,4.59,633,West Village,78,0
subject,1657,Cocktail Bar,4.62,604,Lower East Side,61,0
la-marchande,59156,French,4.55,596,Financial District,30,0
the-half-pint-ernies,3308,American,4.61,593,Greenwich Village,153,0
snack-taverna,52818,Greek,4.60,556,West Village,30,0
marathi-greek-bistro,32152,Greek,4.60,543,Tribeca,77,0
the-flower-shop,42291,American,4.64,535,Lower East Side,21,0
studio-151,53695,Sushi,4.56,523,New York,5,21
saint-tuesday,60484,Cocktail Bar,4.61,518,Tribeca,7,0
paisley,54812,Indian,4.55,511,New York,78,0
little-rascal-nolita,34945,Mediterranean,4.61,500,Nolita,100,0
biga-bite,38670,Pizza,4.59,498,Lower East Side,13,0
temperance_wine_bar,54383,Wine,4.59,494,New York,23,2
tagmo,54518,Indian,4.61,484,Financial District,24,1
ollie,40725,Cocktail Bar,4.61,479,West Village,21,0
lelabar,44872,Wine,4.58,463,West Village,14,0
bondi-sushi-bar-nolita,31204,Sushi,4.55,446,Nolita,15,0
la-esquina-soho,65772,Mexican,4.58,431,Soho,18,4
sekai-omakase,59904,Japanese,4.64,418,West Village,48,0
genki-omakase,65547,Japanese,4.62,403,Greenwich Village,366,0
principe,65364,Seafood,4.62,399,SoHo,3,12
osteria-morini,57645,Italian,4.56,396,New York,60,1
market-table-nyc,50091,American,4.56,388,West Village,25,0
calle-dao-downtown,10673,Cuban,4.57,374,New York University,60,0
sauce-restaurant,59476,Italian,4.62,369,New York,92,0
moody-tongue-sushi,67650,Japanese,4.64,358,Greenwich Village,21,0
broadstone-bar-and-kitchen,7947,American,4.58,349,Financial District,29,1
bowery-meat-company,50689,Steakhouse,4.63,346,Nolita,90,0
cheli-manhattan,65676,Chinese,4.64,345,East Village,56,5
the-izakaya-nyc-on-4th,10258,Japanese,4.59,345,East Village,30,0
little-charlis,62856,Pizza,4.64,341,West Village,12,2
double-zero,8037,Pizza,4.60,340,East Village,30,0
bohemien-bar,51975,International,4.58,335,Brooklyn heights,90,0
the-boil-noho,65675,Cajun,4.59,296,NoHo,61,0
piacere,51152,Italian,4.56,291,Nolita,123,0
la-contenta,64010,Mexican,4.61,249,Lower East Side,29,0
gabs,66623,New American,4.55,246,Greenwich Village,25,0
carne-mare,55555,Italian,4.60,246,Seaport,30,0
house-of-the-red-pearl-at-tin-building-by-jean-georges,69820,Chinese,4.57,236,Pier 17 / South Street Seaport,30,0
craft-new-york,65521,American,4.61,225,Gramercy,37,1
the-penny-farthing,55711,Gastropub,4.64,206,New York,366,0
bocca,64803,Italian,4.62,204,Flatiron/ Gramercy Park,26,0
vinyl-steakhouse,65838,Steakhouse,4.61,203,Flatiron/Chelsea,117,0
coarse-nyc,41970,American,4.61,195,West Village,88,2
le-dive,60381,French,4.63,194,Lower East Side,12,2
etrusca,66767,Italian,4.55,188,Financial District,21,0
szechuan-mountain-house-manhattan,65673,Szechuan,4.59,175,East Village,5,2
unique-omakase,62919,Sushi,4.56,147,New York,8,0
tomo-omakase,65706,Sushi,4.55,126,West village,52,0
bar-primi,52614,Italian,4.63,121,NoHo/East Village,0,30
coopers-craft-and-kitchen-east-village,49945,American,4.58,117,East Village,29,1
jacks-wife-freda-west-village,59163,Mediterranean,4.55,94,NY,30,0
greca,54357,Mediterranean,4.57,92,New York,29,1
the-copper-still-east-village,49684,American,4.57,88,East Village,90,0
